date,bw,comment
20170426,163.4,
20170427,161.8,
20170428,161,
20170429,161.4,
20170430,161,
20170501,162,
20170502,160.4,
20170503,160.4,
20170504,160,
20170505,161,
20170506,159.6,
20170507,160.8,
20170508,161.8,
20170509,161.4,
20170510,159.8,
20170511,160.8,
20170512,161.2,
20170514,157.6,
20170515,161.2,
20170516,162.2,
20170519,161,
20170520,159.4,
20170521,159.4,
20170522,161,
20170523,160.2,
20170524,158.6,
20170525,158.8,
20170526,160,
20170528,158.7,
20170529,159.2,
20170530,158.6,
20170531,158.2,
20170601,157,
20170602,158.6,
20170604,157.8,
20170605,160,
20170606,158.6,
20170607,157.6,
20170608,158,
20170609,157.4,
20170610,156.4,
20170611,155.6,
20170612,156.6,
20170613,156.4,
20170614,157.8,
20170615,157,
20170616,155.2,
20170617,154.4,
20170618,155.2,
20170619,155.8,
20170620,155,
20170621,154.6,
20170622,154.6,
20170623,154.8,
20170624,153.4,
20170625,154.6,
20170626,155.8,
20170627,154.6,
20170628,153.4,
20170629,154.6,
20170630,154.2,
20170701,152.6,
20170702,152.6,
20170703,153,
20170704,152.2,
20170705,151.6,
20170706,150.6,
20170707,151,
20170708,150.2,
20170709,150.8,
20170710,152.4,
20170711,152.2,
20170712,152.6,
20170713,152.4,
20170714,151.4,
20170715,149.4,
20170716,150.4,
20170717,151.8,
20170718,151.6,
20170719,150.6,
20170720,151.2,
20170724,148.8,
20170725,151,
20170726,150.6,
20170727,150.2,
20170728,149,
20170729,148,
20170730,148.2,
20170731,148.6,
20170801,147.8,
20170802,146,
20170803,147.4,
20170804,147,
20170805,145.8,
20170807,148.2,
20170808,148,
20170809,147.4,
20170810,148.4,
20170811,148.2,
20170812,146.8,
20170813,146.8,
20170814,148.4,
20170815,148,
20170816,147.2,
20170817,146.6,
20170818,148,
20170819,148,
20170820,146,
20170821,148,
20170822,146.8,
20170823,147.8,
20170824,147,
20170825,147.2,
20170826,146.8,
20170827,146.8,
20170828,147.4,
20170829,147.4,
20170830,146.8,
20170831,148,
20170901,146.2,
20170902,148.6,
20170903,147.4,
20170904,146.4,
20170905,146.6,
20170906,148.8,
20170908,146.6,
20170909,144.6,
20170910,146,
20170911,146.8,
20170912,146.2,
20170913,145.8,
20170914,145.8,
20170915,146.4,
20170916,146.8,
20170917,147.8,
20170918,146.4,
20170919,147.4,
20170920,146.8,
20170921,147.2,
20170922,146.6,
20170925,151.4,
20170926,149,
20170927,148,
20170928,148.2,
20171016,150,
20171017,150.6,
20171018,148.6,
20171019,147.2,
20171020,148.4,
20171021,146,
20171022,147.4,
20171023,150.2,
20171025,147.2,
20171026,148,
20171027,147,
20171028,147,
20171029,147,
20171031,148.6,
20171102,148.4,
20171104,147.4,
20171105,149.2,
20171107,150.8,
20171108,149.2,
20171109,148.6,
20171110,148,
20171111,147,
20171112,148.6,
20171113,149.6,
20171114,148.4,
20171115,147,
20171116,146.2,
20171117,147.8,
20171118,146.2,
20171119,150.2,
20171120,149.4,
20171122,149.2,
20171123,149,
20171124,149.2,
20171127,151.2,
20171128,147.8,
20171201,147.8,
20171202,146.6,
20171203,150,
20171204,150,
20171205,151.6,
20171206,150.6,
20171209,150.6,
20171211,153.2,
20171212,154.2,
20171213,154.4,
20171214,151.6,
20171215,153,
20171216,150.8,
20171217,152.4,
20171218,153.8,
20171219,152.4,
20171220,149.6,
20171223,152.6,
20171224,154.6,
20180104,153.2,
20180105,153.6,
20180106,153.2,
20180107,153,
20180108,153,
20180109,154.2,
20180110,152.6,
20180111,153.6,
20180112,154.2,
20180113,154.4,
20180117,155,
20180118,154.6,
20180119,153.2,
20180120,152.4,
20180121,155,
20180122,155.2,
20180125,157.4,
20180126,155,
20180127,153.6,
20180128,155.8,
20180129,157.6,
20180131,156.4,
20180202,154.4,
20180203,156,
20180204,158.2,
20180205,160.4,
20180206,160,
20180207,159.2,
20180208,162.4,
20180209,158,
20180210,159.4,
20180211,158.2,
20180212,160.2,
20180216,158,
20180220,165.4,
20180221,162,
20180222,161.4,
20180223,159.6,
20180224,161.6,
20180225,162.4,
20180226,162.6,
20180227,163.2,
20180228,160,
20180301,162.6,
20180302,161.8,
20180303,164.2,day after ramen challenge
20180304,162.4,
20180305,162.6,
20180306,163.2,
20180308,164,
20180311,163.2,
20180312,163.6,
20180313,163.4,
20180314,162,
20180315,164.4,
20180316,161.8,
20180317,162.4,
20180318,164.6,
20180319,166.2,
20180320,167.2,
20180321,165.4,
20180322,166,
20180323,164,
20180323,164,
20180324,164,
20180325,164.4,
20180326,164.4,
20180327,167.2,
20180328,165.2,
20180329,168,
20180330,163.6,
20180331,165.4,
20180402,168,
20180403,168.2,
20180404,161.6,
20180405,164,
20180406,164.2,
20180408,165.2,
